# Step PotentialEnergy(eV) KineticEnergy(eV) TotalEnergy(eV)
2550 -6523.25223476965 944998.220637865 938474.968403095
2560 -5767.62574682574 942514.809784892 936747.184038066
2570 -6599.72311796078 940956.601952561 934356.8788346
2580 -6124.17492959951 942050.293963695 935926.119034096
2590 -5988.60742225108 940395.74117997 934407.133757719
2600 -5246.98058468678 943081.388714346 937834.408129659
2610 -5514.65510526249 945455.820542642 939941.165437379
2620 -5887.41585175482 944392.487246305 938505.071394551
2630 -5168.20100206499 946103.833059985 940935.63205792
2640 -5026.9084639725 947356.999720142 942330.09125617
2650 -6458.20443756448 945107.615361911 938649.410924347
2660 -4883.82434501821 940375.44474963 935491.620404612
2670 -6307.58677841455 940599.337260554 934291.75048214
2680 -5529.20614414176 939775.854524534 934246.648380392
2690 -5398.09863471621 934367.820720957 928969.722086241
2700 -5706.75840145716 932651.375062343 926944.616660886
2710 -6600.32582516904 933378.967896232 926778.642071063
2720 -4722.12756785942 936345.562170526 931623.434602666
2730 -5377.18786038797 936912.568081844 931535.380221456
2740 -5022.81820828614 931681.043937451 926658.225729165
2750 -6888.01483037929 933137.634768845 926249.619938466
2760 -6285.05423826242 932778.070745723 926493.016507461
2770 -6637.69693692731 935242.477807006 928604.780870079
2780 -5970.78702950028 933771.750020845 927800.962991345
2790 -4607.58845558775 936010.639257296 931403.050801708
2800 -6599.79815578987 938380.910073809 931781.111918019
2810 -5550.31802691158 939199.376871085 933649.058844173
2820 -5643.63456006973 941933.868484816 936290.233924747
2830 -6971.4683632889 941214.919223764 934243.450860475
2840 -6411.24633635734 936890.49311962 930479.246783262
2850 -4808.55293210088 934454.541902508 929645.988970408
2860 -5358.70398255419 933853.077567501 928494.373584947
2870 -5785.36487723296 935091.692052552 929306.327175319
2880 -5546.18796856093 935525.692613258 929979.504644697
2890 -5396.9538916955 936782.650109473 931385.696217777
2900 -5939.75398359704 937243.240186245 931303.486202648
2910 -7190.52181798454 935045.922268333 927855.400450349
2920 -4595.99158437879 933762.436558009 929166.44497363
2930 -5571.62961033686 936628.350057653 931056.720447316
2940 -6969.6254135906 938138.463101908 931168.837688317
2950 -7042.49444752145 940682.117024597 933639.622577076
2960 -5369.5461634679 938180.599912975 932811.053749507
2970 -5932.51967785092 937973.238123287 932040.718445436
2980 -6994.53486483759 938351.157612293 931356.622747455
2990 -5557.78963251051 937353.091815745 931795.302183235
3000 -7484.91535882057 942697.305865166 935212.390506345
3010 -4666.01930703218 943501.694971858 938835.675664826
3020 -6863.55092714545 946341.698909022 939478.147981877
3030 -6544.32098457772 944858.118599273 938313.797614695
3040 -5089.34068423838 948011.713501243 942922.372817005
3050 -4740.50767267746 945911.75382871 941171.246156033
3060 -6077.3732104113 945002.159020377 938924.785809966
3070 -5526.42175112215 948359.125932042 942832.70418092
3080 -5275.46844237981 946773.92084403 941498.45240165
3090 -5860.7660395839 948093.802500433 942233.036460849
3100 -6633.15196320931 947472.793531953 940839.641568743
3110 -5956.89717036553 948907.797440499 942950.900270133
3120 -4847.56345260163 949640.401139534 944792.837686932
3130 -5383.84547379963 953849.347318683 948465.501844883
3140 -6042.24235787797 954591.013879076 948548.771521198
3150 -5308.82421006967 951262.092883998 945953.268673928
3160 -5412.5197194574 953075.996768875 947663.477049417
3170 -5925.53121250511 955737.592959554 949812.061747049
3180 -5209.12443183499 955558.609629093 950349.485197258
3190 -5069.06196990519 958588.330816268 953519.268846363
3200 -7075.29059358264 959388.098301971 952312.807708388
3210 -5570.18931193973 957575.356933178 952005.167621238
3220 -5427.51992341892 958124.902086583 952697.382163164
3230 -5492.42224028057 955233.964688212 949741.542447932
3240 -6790.27621357354 953766.066385902 946975.790172328
3250 -6881.07129719129 956305.03832022 949423.967023028
3260 -5574.53483031569 954234.743893199 948660.209062883
3270 -5889.85397709272 957479.364387131 951589.510410038
3280 -5779.05791175911 955380.499107705 949601.441195946
3290 -6693.05681445471 954389.165041399 947696.108226944
3300 -7004.34754661419 955253.107112206 948248.759565592
3310 -7627.82612040502 954367.749857337 946739.923736932
3320 -4751.71603240792 952180.417600739 947428.701568331
3330 -5017.78505365636 951498.757852343 946480.972798687
3340 -6265.05068732229 950032.726048801 943767.675361479
3350 -6168.36471910747 948759.55970071 942591.194981602
3360 -6304.38690912742 949221.084949199 942916.698040072
3370 -6129.86948957248 943599.855894047 937469.986404474
3380 -6273.40973833253 943573.099549443 937299.689811111
3390 -4988.8178767183 943561.26710058 938572.449223862
3400 -7891.39839886207 944960.175027685 937068.776628823
3410 -6031.30814514805 946896.761217128 940865.45307198
3420 -5507.70506816683 944959.19921616 939451.494147993
3430 -6434.85856166005 943340.897831647 936906.039269987
3440 -5539.34541303161 946203.899913735 940664.554500703
3450 -4855.20920953877 943585.267166059 938730.05795652
3460 -5652.5147659202 944230.817539653 938578.302773732
3470 -4776.8349161348 942811.5722361 938034.737319965
3480 -6230.13875504262 941586.084223954 935355.945468911
3490 -5893.73111328659 941255.388123373 935361.657010086
3500 -5771.34012658438 942265.374785403 936494.034658818
3510 -6181.14883895717 942001.93884459 935820.790005632
3520 -5161.36884544736 938764.345720863 933602.976875416
3530 -6101.29794991694 941104.355766688 935003.057816771
3540 -5166.15531006026 941221.262352188 936055.107042127
3550 -5365.84425042222 940543.57787593 935177.733625508
3560 -5957.41644105459 941312.29444632 935354.878005265
3570 -5527.23168243353 938726.054944796 933198.823262362
3580 -4652.21076790108 934101.276835411 929449.06606751
3590 -6895.84831251667 935780.850512862 928885.002200345
3600 -5304.14338284085 938213.383673888 932909.240291047
3610 -6241.51785325812 939282.995351504 933041.477498246
3620 -5364.94926752384 940501.086717516 935136.137449992
3630 -4668.2789890789 941016.281792245 936348.002803166
3640 -5810.73540560674 943647.534311582 937836.798905976
3650 -6025.75277852627 945035.408741171 939009.655962645
3660 -5285.49764634379 940853.520623534 935568.022977191
3670 -6115.88911835882 941559.189815087 935443.300696729
3680 -8198.12405585907 947127.80009086 938929.676035001
3690 -4822.86427161013 944383.293428918 939560.429157308
3700 -5382.85325247412 940562.756136434 935179.90288396
3710 -4537.37726737465 938411.192866265 933873.81559889
3720 -5921.92231145466 938609.999448033 932688.077136578
3730 -5555.27473259511 938173.647093817 932618.372361222
3740 -4677.52061442207 939547.712306017 934870.191691595
3750 -4852.57120900498 939263.991414286 934411.420205281
3760 -5397.16374703347 940507.299234758 935110.135487724
3770 -5781.62731291228 940758.689415212 934977.0621023
3780 -4531.69108543096 941573.761381825 937042.070296394
3790 -5076.99693475558 942283.038133692 937206.041198937
3800 -4580.59870951987 946903.480963008 942322.882253488
3810 -4799.01239199436 942829.346318422 938030.333926427
3820 -8892.33533694152 945319.980436494 936427.645099553
3830 -7161.46459468744 947642.284615294 940480.820020607
3840 -5472.98406200922 946879.670099791 941406.686037782
3850 -5522.18895651198 946121.936495969 940599.747539457
3860 -4166.13669834486 944250.199738623 940084.063040278
3870 -4402.195592318 946271.988491584 941869.792899266
